Player_ID,Team_Name,Player_Name,apps,goal,assistTotal,shotsPerGame,keyPassPerGame,dribbleWonPerGame,foulGivenPerGame,offsideGivenPerGame,dispossessedPerGame,turnoverPerGame,rating
299271,DR Congo,Axel Tuanzebe,24,1,0,0.4047619047619047,,,0.1428571428571428,0.0714285714285714,,0.43650793650793646,6.510000000000001
299344,Argentina,Lautaro Martínez,68,34,6,2.9125,0.9944444444444445,0.6333333333333334,1.5374999999999999,0.5458333333333333,1.5125,1.41875,7.205520833333333
299490,Belgium,Dodi Lukébakio,30,6,3,1.8125,2.3676470588235294,0.9595588235294117,1.0490196078431373,0.1764705882352941,1.0698529411764706,2.2470588235294118,6.411705882352942
299513,France,Ousmane Dembélé,46,21,11,2.232167832167832,1.9947552447552446,0.9313811188811189,0.2721445221445221,0.6596736596736597,0.47668997668997665,1.1875,7.048444055944057
299684,Argentina,Exequiel Palacios,40,0,1,0.37777777777777777,0.6074074074074074,0.3111111111111111,1.3518518518518519,,0.6111111111111112,0.8407407407407407,6.624666666666666
300049,Scotland,Dominic Hyam,50,1,0,0.2875,0.075,0.1875,0.65,0.1,0.025,0.275,6.8332500000000005
300299,England,Marcus Rashford,61,15,11,2.1293290043290045,1.4272186147186148,1.1220238095238095,0.7088068181818181,0.21239177489177485,0.7271374458874459,1.3051948051948052,6.9812418831168825
300359,Morocco,Issa Diop,20,1,0,0.41025641025641024,,0.0769230769230769,0.4487179487179487,,,0.7564102564102564,6.598290598290599
300447,Brazil,Raphinha,34,17,5,2.4529220779220777,2.1801948051948052,1.0511363636363638,1.0957792207792207,0.23376623376623373,0.6374458874458875,1.3116883116883116,7.108668831168831
300483,DR Congo,Simon Banza,4,0,0,,,,,,,,
300590,Ivory Coast,Alban Lafont,22,0,0,,,,0.7,,,,5.662
300713,France,Kylian Mbappé,56,49,9,4.7626466275659824,2.166239002932551,2.0835777126099706,0.9704301075268816,0.7375366568914957,1.3196480938416422,2.15902981427175,7.739044477028348
301019,France,Jules Koundé,54,3,4,0.5722222222222223,0.9222222222222222,0.6666666666666666,0.6166666666666667,0.0666666666666666,0.7222222222222223,1.1333333333333333,6.890277777777778
301034,Switzerland,Eray Cömert,23,2,1,0.6470588235294118,0.3529411764705882,,0.7647058823529411,0.0588235294117647,0.0588235294117647,0.3529411764705882,6.741764705882353
301440,England,Ezri Konsa,59,3,0,0.48482726423902894,0.15219421101774036,0.7433473389355741,1.404236694677871,,0.16199813258636783,0.6281512605042017,6.953422619047618
302497,Norway,Alexander Sørloth,70,25,3,2.680654761904762,1.0163690476190474,0.6309523809523809,0.705952380952381,0.3714285714285714,1.055952380952381,1.5077380952380952,7.0232946428571426
302691,Switzerland,Remo Freuler,49,1,4,0.5086206896551724,0.914655172413793,0.15948275862068964,0.6443965517241379,0.5172413793103448,0.603448275862069,0.95,6.902439655172413
302692,USA,Christian Pulisic,45,13,6,2.0666666666666664,1.7555555555555555,2.1333333333333333,1.1444444444444446,0.1,1.0,2.6222222222222222,7.3069999999999995
302991,Paraguay,Alejandro Romero,6,1,0,0.6666666666666666,1.3333333333333335,1.0,0.6666666666666666,,,0.3333333333333333,6.27388888888889
303115,France,Théo Hernández,39,5,1,0.6666666666666666,3.0,0.6666666666666666,0.6666666666666666,,1.0,1.0,7.010000000000001
